,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0j,-0.05555555555555555*sqrt(15),-0.05555555555555555*sqrt(15)*sqrt(2),-0.05555555555555555*sqrt(15)*sqrt(3)*sqrt(2),-0.05555555555555555*sqrt(15)*sqrt(2),-0.1111111111111111*sqrt(15),0.05555555555555555*sqrt(15)*sqrt(3),(-0+0j),(-0+0j),-0.05555555555555555*sqrt(15)*sqrt(3)*sqrt(2),0.05555555555555555*sqrt(15)*sqrt(3),(-0+0j),(-0+0j),(-0+0j)
1,-0.05555555555555555*sqrt(15),(-0.11111111111111138+0j),0.2222222222222222*sqrt(2),-0.1111111111111111*sqrt(3)*sqrt(2),0.2222222222222222*sqrt(2),0.1111111111111111,-0.05555555555555555*sqrt(3),-0.2222222222222222*sqrt(3),0.3333333333333333,-0.1111111111111111*sqrt(3)*sqrt(2),-0.05555555555555555*sqrt(3),(-0+0j),0.3333333333333333,(-0+0j)
2,-0.05555555555555555*sqrt(15)*sqrt(2),0.2222222222222222*sqrt(2),(-0.6388888888888891+0j),0.027777777777777776*sqrt(3),0.1111111111111111,0.2777777777777778*sqrt(2),-0.05555555555555555*sqrt(3)*sqrt(2),-0.2222222222222222*sqrt(3)*sqrt(2),-0.16666666666666666*sqrt(2),-0.05555555555555555*sqrt(3),0.1111111111111111*sqrt(3)*sqrt(2),(-0+0j),-0.16666666666666666*sqrt(2),(-0+0j)
3,-0.05555555555555555*sqrt(15)*sqrt(3)*sqrt(2),-0.1111111111111111*sqrt(3)*sqrt(2),0.027777777777777776*sqrt(3),(-1.2499999999999996+0j),-0.05555555555555555*sqrt(3),-0.05555555555555555*sqrt(3)*sqrt(2),0.5*sqrt(2),-0.16666666666666666*sqrt(2),0,(-0+0j),(-0+0j),0,(-0+0j),-0.5*sqrt(2)
4,-0.05555555555555555*sqrt(15)*sqrt(2),0.2222222222222222*sqrt(2),0.1111111111111111,-0.05555555555555555*sqrt(3),(-0.6388888888888888+0j),0.2777777777777778*sqrt(2),0.1111111111111111*sqrt(3)*sqrt(2),-0.2222222222222222*sqrt(3)*sqrt(2),-0.16666666666666666*sqrt(2),0.027777777777777776*sqrt(3),-0.05555555555555555*sqrt(3)*sqrt(2),(-0+0j),-0.16666666666666666*sqrt(2),(-0+0j)
5,-0.1111111111111111*sqrt(15),0.1111111111111111,0.2777777777777778*sqrt(2),-0.05555555555555555*sqrt(3)*sqrt(2),0.2777777777777778*sqrt(2),(-1.111111111111111+0j),0.4722222222222222*sqrt(3),-0.4444444444444444*sqrt(3),0.16666666666666666,-0.05555555555555555*sqrt(3)*sqrt(2),0.4722222222222222*sqrt(3),(-0+0j),0.16666666666666666,(-0+0j)
6,0.05555555555555555*sqrt(15)*sqrt(3),-0.05555555555555555*sqrt(3),-0.05555555555555555*sqrt(3)*sqrt(2),0.5*sqrt(2),0.1111111111111111*sqrt(3)*sqrt(2),0.4722222222222222*sqrt(3),(-1.5+0j),0.16666666666666666,0,(-0+0j),(-0+0j),0.25*sqrt(3),(-0+0j),0.5
7,(-0+0j),-0.2222222222222222*sqrt(3),-0.2222222222222222*sqrt(3)*sqrt(2),-0.16666666666666666*sqrt(2),-0.2222222222222222*sqrt(3)*sqrt(2),-0.4444444444444444*sqrt(3),0.16666666666666666,0j,0.25*sqrt(3),-0.16666666666666666*sqrt(2),0.16666666666666666,(-0+0j),0.25*sqrt(3),(-0+0j)
8,(-0+0j),0.3333333333333333,-0.16666666666666666*sqrt(2),0,-0.16666666666666666*sqrt(2),0.16666666666666666,0,0.25*sqrt(3),(-1.5+0j),(-0+0j),(-0+0j),0.5,(-0+0j),0.25*sqrt(3)
9,-0.05555555555555555*sqrt(15)*sqrt(3)*sqrt(2),-0.1111111111111111*sqrt(3)*sqrt(2),-0.05555555555555555*sqrt(3),(-0+0j),0.027777777777777776*sqrt(3),-0.05555555555555555*sqrt(3)*sqrt(2),(-0+0j),-0.16666666666666666*sqrt(2),(-0+0j),(-1.2499999999999998+0j),0.5*sqrt(2),0,0,-0.5*sqrt(2)
10,0.05555555555555555*sqrt(15)*sqrt(3),-0.05555555555555555*sqrt(3),0.1111111111111111*sqrt(3)*sqrt(2),(-0+0j),-0.05555555555555555*sqrt(3)*sqrt(2),0.4722222222222222*sqrt(3),(-0+0j),0.16666666666666666,(-0+0j),0.5*sqrt(2),(-1.5000000000000004+0j),0.25*sqrt(3),0,0.5
11,(-0+0j),(-0+0j),(-0+0j),0,(-0+0j),(-0+0j),0.25*sqrt(3),(-0+0j),0.5,0,0.25*sqrt(3),(-1+0j),0.5,(-0+0j)
12,(-0+0j),0.3333333333333333,-0.16666666666666666*sqrt(2),(-0+0j),-0.16666666666666666*sqrt(2),0.16666666666666666,(-0+0j),0.25*sqrt(3),(-0+0j),0,0,0.5,(-1.5+0j),0.25*sqrt(3)
13,(-0+0j),(-0+0j),(-0+0j),-0.5*sqrt(2),(-0+0j),(-0+0j),0.5,(-0+0j),0.25*sqrt(3),-0.5*sqrt(2),0.5,(-0+0j),0.25*sqrt(3),(-3+0j)
