,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,7,7,8
,1,2,3,4,5,6,7,8,2,3,4,5,6,7,8,3,4,5,6,7,8,4,5,6,7,8,5,6,7,8,6,7,8,7,8,8
0,1.0,1,2,3,-1,0,1,2,1,1,1,-1/4,-1/4,-1/4,-1/4,3,3,-3/4,-3/4,-3/4,-3/4,6,-3/2,-3/2,-3/2,-3/2,5/2,0,0,0,5/2,0,0,7/2,1,11/2
1,1.0,1,2,-1,3,0,1,2,1,1,-1/3,11/12,-7/36,-7/36,-7/36,3,-1,11/4,-7/12,-7/12,-7/12,2,-3/2,-1/6,-1/6,-1/6,13/2,-4/3,-4/3,-4/3,5/2,0,0,7/2,1,11/2
2,1.0,1,-1,2,3,0,1,2,1,-1/2,5/6,5/6,-1/18,-1/18,-1/18,3/2,-1,-1,-1/3,-1/3,-1/3,7/2,3,-1/3,-1/3,-1/3,13/2,0,0,0,5/2,0,0,7/2,1,11/2
3,1.0,-1,1,2,3,0,1,2,1,-1/2,-1/2,-1/2,-1/2,-1/2,-1/2,3/2,1,1,1/3,1/3,1/3,7/2,3,1,1,1,13/2,4/3,4/3,4/3,5/2,0,0,7/2,1,11/2
4,1.0,1,2,-1,0,3,1,2,1,1,-1/3,-1/3,7/9,-1/18,-1/18,3,-1,-1,7/3,-1/6,-1/6,2,0,-4/3,-1/3,-1/3,2,4/3,1/3,1/3,7,-1/2,-1/2,7/2,1,11/2
5,1.0,1,-1,2,0,3,1,2,1,-1/2,5/6,-1/6,13/18,1/18,1/18,3/2,-1,-1/4,-11/12,-5/12,-5/12,7/2,-3/4,31/12,1/12,1/12,2,0,0,0,7,1/2,1/2,7/2,1,11/2
6,1.0,-1,1,2,0,3,1,2,1,-1/2,-1/2,-1/2,-1/2,-1/2,-1/2,3/2,1,1/4,11/12,5/12,5/12,7/2,3/4,11/4,5/4,5/4,2,-4/3,-1/3,-1/3,7,3/2,3/2,7/2,1,11/2
7,1.0,1,-1,0,2,3,1,2,1,-1/2,-1/2,1/2,1/2,1/2,1/2,3/2,0,-3/4,-3/4,-3/4,-3/4,3/2,3/4,3/4,3/4,3/4,4,3,3/2,3/2,7,3,3,7/2,1,11/2
8,1.0,-1,1,0,2,3,1,2,1,-1/2,-1/2,-1/2,-1/2,-1/2,-1/2,3/2,0,3/4,3/4,3/4,3/4,3/2,-3/4,-3/4,-3/4,-3/4,4,3,3/2,3/2,7,3,3,7/2,1,11/2
9,1.0,1,2,-1,0,1,3,2,1,1,-1/3,-1/3,-1/3,1/2,1/2,3,-1,-1,-1,3/2,3/2,2,0,0,-1,-1,2,0,1,1,3,7/2,7/2,15/2,3,11/2
10,1.0,1,-1,2,0,1,3,2,1,-1/2,5/6,-1/6,-1/6,1/2,1/2,3/2,-1,-1/4,-1/4,-3/4,-3/4,7/2,-3/4,-3/4,7/4,7/4,2,0,0,0,3,5/2,5/2,15/2,3,11/2
11,1.0,-1,1,2,0,1,3,2,1,-1/2,-1/2,-1/2,-1/2,-1/2,-1/2,3/2,1,1/4,1/4,3/4,3/4,7/2,3/4,3/4,9/4,9/4,2,0,-1,-1,3,3/2,3/2,15/2,3,11/2
12,1.0,1,-1,0,2,1,3,2,1,-1/2,-1/2,1/2,1/2,1/2,1/2,3/2,0,-3/4,-3/4,-3/4,-3/4,3/2,3/4,3/4,3/4,3/4,4,1,5/2,5/2,3,0,0,15/2,3,11/2
13,1.0,-1,1,0,2,1,3,2,1,-1/2,-1/2,-1/2,-1/2,-1/2,-1/2,3/2,0,3/4,3/4,3/4,3/4,3/2,-3/4,-3/4,-3/4,-3/4,4,1,5/2,5/2,3,0,0,15/2,3,11/2
